# index, id, female, _pos
387,519,0,"array([8.0802467 , 8.26893986])"
388,521,0,"array([10.02312503,  8.38941269])"
389,522,0,"array([7.84814261, 9.03957948])"
390,523,0,"array([9.55345994, 9.15895369])"
391,524,0,"array([9.76570868, 9.32901524])"
392,526,0,"array([7.40789715, 5.75988953])"
393,527,0,"array([10.91909745,  7.18250291])"
394,528,0,"array([9.1968463 , 8.58946452])"
395,531,0,"array([10.9115997 , 10.51810925])"
396,532,0,"array([9.89633341, 8.51286025])"
397,533,0,"array([9.34392213, 4.9995831 ])"
398,534,0,"array([11.64200431,  5.22283676])"
399,535,0,"array([8.48980327, 9.79008975])"
400,536,0,"array([9.88735671, 7.52625778])"
401,537,0,"array([9.9409075 , 8.42089487])"
402,538,0,"array([6.23965425, 7.58420247])"
403,539,0,"array([7.28397057, 5.7167463 ])"
404,540,0,"array([11.57052804, 11.74108745])"
405,541,0,"array([8.31402181, 7.50361194])"
406,542,0,"array([11.50159137,  7.96480981])"
407,543,0,"array([10.96117827,  8.62552856])"
408,545,0,"array([8.56721838, 8.72783997])"
409,546,0,"array([8.68923021, 9.25157692])"
410,547,0,"array([6.33709955, 6.74912687])"
411,548,0,"array([10.97825975, 10.50673089])"
412,549,0,"array([9.54743809, 7.15610142])"
413,550,0,"array([8.72039611, 8.48600446])"
414,551,0,"array([11.06666534,  8.10726475])"
415,552,0,"array([10.48344721,  9.66428128])"
416,553,0,"array([ 9.92599611, 10.81367606])"
417,554,0,"array([8.11100979, 5.10428933])"
418,556,0,"array([9.80211343, 6.56851493])"
419,557,0,"array([9.14508709, 6.93477512])"
420,558,0,"array([9.0351649 , 6.99142662])"
421,559,0,"array([10.14623403,  7.60185836])"
422,560,0,"array([10.33921882,  9.38568748])"
423,561,0,"array([11.32195199,  9.39328448])"
424,562,0,"array([10.48086856,  8.35035986])"
425,564,0,"array([9.59918496, 8.33308259])"
426,567,0,"array([11.42388021,  7.71593446])"
427,568,0,"array([9.26444587, 9.21703985])"
428,569,0,"array([8.89217392, 8.62091862])"
429,570,0,"array([ 6.32949114, 10.67187538])"
430,571,0,"array([9.82724043, 6.43808315])"
431,572,0,"array([9.99113407, 7.98062098])"
432,574,0,"array([8.18722914, 8.85985152])"
433,575,0,"array([9.16925833, 9.95376499])"
434,578,0,"array([10.10106834,  8.86368964])"
435,580,0,"array([10.83648859, 10.75653406])"
436,582,0,"array([10.8450046 ,  9.63607472])"
437,583,0,"array([10.10186156,  8.03783872])"
438,584,0,"array([10.75549292,  9.55338653])"
439,585,0,"array([13.14557046,  5.97705079])"
440,586,0,"array([9.11520061, 8.17310645])"
441,588,0,"array([9.7151186 , 7.99186404])"
442,589,0,"array([9.78892575, 8.20764809])"
443,590,0,"array([5.67860648, 8.23834933])"
444,592,0,"array([9.23436107, 6.68168366])"
445,593,0,"array([6.59750248, 5.7644811 ])"
446,595,0,"array([10.67360442, 10.43811237])"
447,596,0,"array([9.71919352, 7.49685576])"
448,598,0,"array([10.77651558,  8.25488283])"
449,599,0,"array([10.16926546,  9.44555065])"
450,600,0,"array([12.01644687,  8.88033366])"
451,601,0,"array([9.90476885, 5.03548138])"
452,605,0,"array([13.03873413,  6.56179178])"
453,606,0,"array([10.47126697,  7.99731308])"
454,607,0,"array([14.13932946,  9.44132155])"
455,608,0,"array([10.81654203,  8.74411727])"
456,611,0,"array([10.02690824,  8.6281789 ])"
457,612,0,"array([5.69323379, 9.70908558])"
458,613,0,"array([14.04510098,  7.87459931])"
459,614,0,"array([8.42031016, 9.81184244])"
460,615,0,"array([10.32187918,  7.81643774])"
461,616,0,"array([9.16501651, 8.83322484])"
462,617,0,"array([11.03510356,  7.8839245 ])"
463,619,0,"array([9.48861254, 9.27795838])"
