# source, target, timestamp, duration
174,452,1034034,3
174,518,1070678,45
174,423,1465439,0
174,423,1465451,0
175,334,573858,7
176,219,1106726,57
176,219,1501546,0
176,219,1705247,95
176,219,2312633,2
177,260,2109784,17
178,293,487197,25
179,24,594297,27
179,24,1116496,62
179,24,1190508,0
179,24,1190532,2
180,501,129685,57
180,164,1026091,0
180,164,1026097,0
180,164,1026108,0
180,164,1026114,0
180,164,1026127,2
180,453,1091639,44
180,453,1093785,99
180,460,1094443,72
180,460,1094641,5
180,501,1514242,4
180,453,1722309,12
181,20,496619,65
181,8,2043582,49
181,508,2043753,8
181,321,2316425,30
182,142,1065332,0
182,142,2282926,53
184,373,762072,27
184,373,1485905,0
184,373,1485912,0
184,373,1485917,0
184,373,1485941,7
184,373,1498270,9
184,373,1498287,3
184,373,1498766,66
184,373,1800935,3
184,388,1800983,5
184,388,1801030,4
184,373,1801071,4
184,388,1801098,0
184,373,1937103,69
185,467,113261,28
185,365,1685277,184
185,265,1773097,94
187,64,829500,6
187,402,1106216,2
187,402,1126069,0
187,465,1591453,6
187,465,1592032,35
187,406,2199631,36
187,273,2307358,8
187,273,2307403,6
187,273,2307416,6
187,273,2307429,13
187,273,2307433,-1
187,273,2307491,0
187,273,2307495,0
187,273,2307499,0
187,273,2307553,6
187,273,2307854,6
187,64,2307899,3
187,273,2308849,2
187,273,2308886,3
187,273,2322763,17
188,534,66881,55
188,534,238911,17
188,393,925823,-1
188,393,926138,-1
188,46,1712027,70
189,240,1070122,33
190,400,983869,154
190,400,987237,154
190,400,1322391,-1
190,400,1325773,4
190,400,1328942,-1
190,400,1332322,5
191,299,1095922,2
191,299,1095948,0
192,324,327762,-1
192,324,479355,88
192,324,1211858,13
192,324,1879759,0
192,324,2139809,132
192,324,2306764,0
194,249,821501,3
194,249,821635,95
194,249,822827,3
194,249,822857,13
194,249,822898,7
194,249,822916,0
194,68,1015833,101
194,287,1016113,55
194,507,1016194,68
194,71,1016298,52
194,203,1016318,58
194,391,1017049,50
194,507,2291921,48
195,168,643613,87
195,168,644902,2
195,234,645116,15
195,234,645233,8
195,168,645609,3
195,168,646968,4
195,143,743523,5
195,143,743538,2
195,234,817968,0
195,289,1009312,82
195,224,1010190,78
195,438,1010358,1
195,289,1010467,0
195,289,1010480,333
195,224,1010917,94
195,438,1011060,1
195,438,1011136,0
195,164,1011733,62
195,131,1011881,6
195,131,1011926,85
195,224,1012152,3
195,224,1012171,83
195,323,1012712,72
195,83,1013525,67
195,390,1014032,72
195,143,1014144,53
195,269,1014834,2
195,269,1014876,69
195,168,1083011,1
195,248,1589770,48
195,248,1589835,18
195,168,2032013,17
195,134,2304980,23
197,299,313903,83
197,2,755775,0
197,2,755905,0
197,2,756042,2
197,2,756052,89
197,168,1013636,-1
197,168,1013758,58
197,305,1089008,2
197,2,1676864,44
197,305,1870695,2
197,168,2068479,127
197,305,2127546,85
197,305,2282633,96
198,200,46698,0
198,200,55162,9
198,199,149998,165
198,200,233184,66
198,200,234395,56
198,291,326026,24
198,291,326615,7
198,291,479231,71
198,291,486985,52
198,291,720429,22
198,291,813005,0
198,200,1256329,166
198,291,1324806,3
198,200,2134607,2
198,199,2394075,196
199,367,392453,37
199,367,608446,493
199,198,1098228,37
199,367,1449932,2
199,50,1518927,2
